catalog_id,catalog_aliases,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-1545-5963,,IEEE/ACM Transactions on Computational Biology and Bioinformatics,1545-5963,1557-9964,1545-5963;1557-9964;2374-0043,,交叉/综合/新兴,,,,,,,,
issn-1000-9000,,Journal of Computer Science and Technology,1000-9000,1860-4749,1000-9000;1860-4749,,交叉/综合/新兴,,,,,,,,
issn-1067-5027,,Journal of the American Medical Informatics Association,1067-5027,1527-974X,1067-5027;1527-974X,,交叉/综合/新兴,,,,,,,,
issn-1553-734x,,PLOS Computational Biology,1553-734X,1553-7358,1553-734X;1553-7358,,交叉/综合/新兴,,,,,,,,
issn-0010-4620,,The Computer Journal,0010-4620,1460-2067,0010-4620;1460-2067,,交叉/综合/新兴,,,,,,,,
issn-1386-145x,,World Wide Web,1386-145X,1573-1413,1386-145X;1573-1413,,交叉/综合/新兴,,,,,,,,
issn-2095-2228,,Frontiers of Computer Science,2095-2228,2095-2236,2095-2228;2095-2236,,交叉/综合/新兴,,,,,,,,
issn-2096-7209,,Blockchain: Research and Applications,2096-7209,2666-9536,2096-7209;2666-9536,,交叉/综合/新兴,,,,,,,,
issn-1471-2105,,BMC Bioinformatics,1471-2105,,1471-2105,,交叉/综合/新兴,,,,,,,,
issn-0196-9722,,Cybernetics and Systems,0196-9722,1087-6553,0196-9722;1087-6553,,交叉/综合/新兴,,,,,,,,
issn-1545-598x,,IEEE Geoscience and Remote Sensing Letters,1545-598X,1558-0571,1545-598X;1558-0571,,交叉/综合/新兴,,,,,,,,
issn-2168-2194,,IEEE Journal of Biomedical and Health Informatics,2168-2194,2168-2208,2168-2194;2168-2208,,交叉/综合/新兴,,,,,,,,
issn-2332-7790,,IEEE Transactions on Big Data,2332-7790,2372-2096,2332-7790;2372-2096,,交叉/综合/新兴,,,,,,,,
issn-1751-956x,,IET Intelligent Transport Systems,1751-956X,1751-9578,1751-956X;1751-9578,,交叉/综合/新兴,,,,,,,,
issn-1532-0464,,Journal of Biomedical Informatics,1532-0464,1532-0480,1532-0464;1532-0480,,交叉/综合/新兴,,,,,,,,
issn-1361-8415,,Medical Image Analysis,1361-8415,1361-8423,1361-8415;1361-8423;1361-8431,,交叉/综合/新兴,,,,,,,,
issn-1551-3203,,IEEE Transactions on Industrial Informatics,1551-3203,1941-0050,1551-3203;1941-0050,,交叉/综合/新兴,,,,,,,,
issn-2378-962x,,ACM Transactions on Cyber-Physical Systems,2378-962X,2378-9638,2378-962X;2378-9638,,交叉/综合/新兴,,,,,,,,
issn-1946-6226,,ACM Transactions on Computing Education,1946-6226,,1946-6226,,交叉/综合/新兴,,,,,,,,
issn-3069-8928,,ENGINEERING Information Technology & Electronic Engineering,3069-8928,3069-8936,3069-8928;3069-8936,,交叉/综合/新兴,,,,,,,,
issn-2329-924x,,IEEE Transactions on Computational Social Systems,2329-924X,2373-7476,2329-924X;2373-7476,,交叉/综合/新兴,,,,,,,,
issn-0018-9529,,IEEE Transactions on Reliability,0018-9529,1558-1721,0018-9529;1558-1721,,交叉/综合/新兴,,,,,,,,
issn-2637-8051,,ACM Transactions on Computing for Healthcare,2637-8051,2691-1957,2637-8051;2691-1957,,交叉/综合/新兴,,,,,,,,
issn-2769-6472,,ACM Distributed Ledger Technologies: Research and Practice,2769-6472,2769-6480,2769-6472;2769-6480,,交叉/综合/新兴,,,,,,,,
