catalog_id,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-1815-7556,International Journal of Central Banking,1815-7556,,1815-7556,,Finance,,,639,3,,,,
issn-0959-6119,International Journal of Contemporary Hospitality Management,0959-6119,1757-1049,0959-6119;1757-1049,,"Tourism, Hospitality & Transportation",,,1581,3,1118,B,,
issn-1086-4415,International Journal of Electronic Commerce,1086-4415,1557-9301,1086-4415;1557-9301,,Information Systems,,,876,3,587,B,,
issn-1758-6534,International Journal of Entrepreneurial Behaviour and Research,1758-6534,,1758-6534,,Entrepreneurship & Small Business,,,479,3,,,,
issn-1099-1158,International Journal of Finance and Economics,1099-1158,,1099-1158,,Finance,,,640,3,,,,
issn-0169-2070,International Journal of Forecasting,0169-2070,1872-8200,0169-2070;1872-8200,,Operations & Management Science,,,1232,3,859,B,,
issn-0278-4319,International Journal of Hospitality Management,0278-4319,1873-4693,0278-4319;1873-4693,,"Tourism, Hospitality & Transportation",,,1582,3,1119,B,,
issn-0958-5192,International Journal of Human Resource Management,0958-5192,1466-4399,0958-5192;1466-4399,,Human Resources & Employment,,,758,3,469,B,,
issn-0167-7187,International Journal of Industrial Organization,0167-7187,1873-7986,0167-7187;1873-7986,,Economics,,,172,3,499,B,,
issn-0268-4012,International Journal of Information Management,0268-4012,,0268-4012,,Information Systems,,,,,588,B,,
issn-0219-6220,International Journal of Information Technology & Decision Making,0219-6220,,0219-6220,,Operations & Management Science,,,,,860,B,,
issn-1460-8545,International Journal of Management Reviews,1460-8545,1468-2370,1460-8545;1468-2370,,Management & Organization,,,526,3,403,B,,
issn-0144-3577,International Journal of Operations and Production Management,0144-3577,1758-6593,0144-3577;1758-6593,,Operations & Management Science,,,1143,4,828,B,,
issn-0960-0035,International Journal of Physical Distribution & Logistics Management,0960-0035,,0960-0035,,Operations & Management Science,,,,,829,B,,
issn-0925-5273,International Journal of Production Economics,0925-5273,1873-7579,0925-5273;1873-7579,,Operations & Management Science,,,1148,3,830,B,,
issn-0020-7543,International Journal of Production Research,0020-7543,1366-588X,0020-7543;1366-588X,,Operations & Management Science,,,1149,3,831,B,,
issn-0263-7863,International Journal of Project Management,0263-7863,,0263-7863,,Engineering & Industrial Management,,,,,546,B,,
issn-1473-5660,International Journal of Rehabilitation Research,1473-5660,,1473-5660,,Psychology & Behavior,,,1418,3,,,,
issn-0167-8116,International Journal of Research in Marketing,0167-8116,1873-8001,0167-8116;1873-8001,,Marketing,,,1070,4,767,B,,
issn-0265-1335,International Marketing Review,0265-1335,1758-6763,0265-1335;1758-6763,,Marketing,,,1074,3,768,B,,
issn-0197-9183,International Migration Review,0197-9183,,0197-9183,,Economics,,,,,695,B,,
issn-0020-8183,International Organization,0020-8183,1531-5088,0020-8183;1531-5088,,Social Sciences,,,1687,4,,,,
issn-1096-7494,International Public Management Journal,1096-7494,1559-3169,1096-7494;1559-3169,,Public Administration & Policy,,,1478,3,976,B,,
issn-1461-7226,International Review of Administrative Sciences,1461-7226,,1461-7226,,Public Administration & Policy,,,1479,3,,,,
issn-1057-5219,International Review of Financial Analysis,1057-5219,1873-8079,1057-5219;1873-8079,,Finance,,,641,3,248,B,,
issn-0266-2426,International Small Business Journal,0266-2426,1741-2870,0266-2426;1741-2870,,Entrepreneurship & Small Business,,,480,3,218,B,,
issn-1751-5823,International Statistical Review,1751-5823,,1751-5823,,Statistics & Econometrics,,,173,3,,,,
issn-0020-8833,International Studies Quarterly,0020-8833,,0020-8833,,International Business & Affairs,,,1688,4,649,B,,
issn-1066-2243,Internet Research,1066-2243,,1066-2243,,Information Systems,,,877,3,589,B,,
issn-0165-4101,Journal of Accounting and Economics,0165-4101,1879-1980,0165-4101;1879-1980,,Accounting & Auditing,2,UTD24,3,4*,4,A,,
issn-0278-4254,Journal of Accounting and Public Policy,0278-4254,1873-2070,0278-4254;1873-2070,,Accounting & Auditing,,,21,3,20,B,,
issn-0148-558x,"Journal of Accounting, Auditing and Finance",0148-558X,,0148-558X,,Accounting & Auditing,,,23,3,19,B,,
issn-0737-4607,Journal of Accounting Literature,0737-4607,,0737-4607,,Accounting & Auditing,,,22,3,21,B,,
issn-0021-8456,Journal of Accounting Research,0021-8456,1475-679X,0021-8456;1475-679X,,Accounting & Auditing,3,UTD24,4,4*,5,A,,
issn-0091-3367,Journal of Advertising,0091-3367,1557-7805,0091-3367;1557-7805,,Marketing,,,1075,3,769,B,,
issn-0021-8499,Journal of Advertising Research,0021-8499,1740-1909,0021-8499;1740-1909,,Marketing,,,1076,3,770,B,,
issn-0021-857x,Journal of Agricultural Economics,0021-857X,1477-9552,0021-857X;1477-9552,,Agricultural Economics,,,174,3,66,B,,
issn-0883-7252,Journal of Applied Econometrics,0883-7252,1099-1255,0883-7252;1099-1255,,Statistics & Econometrics,,,175,3,139,B,,
issn-0021-9010,Journal of Applied Psychology,0021-9010,1939-1854,0021-9010;1939-1854,,Psychology & Behavior,,,1403,4*,930,A,,
issn-0378-4266,Journal of Banking and Finance,0378-4266,1872-6372,0378-4266;1872-6372,,Finance,,,642,3,249,B,,
issn-0894-3257,Journal of Behavioral Decision Making,0894-3257,1099-0771,0894-3257;1099-0771,,Economics,,,1348,3,172,B,,
issn-0735-0015,Journal of Business and Economic Statistics,0735-0015,1537-2707,0735-0015;1537-2707,,Statistics & Econometrics,,,131,4,130,A,,
issn-0889-3268,Journal of Business and Psychology,0889-3268,1573-353X,0889-3268;1573-353X,,Psychology & Behavior,,,1419,3,940,B,,
issn-0167-4544,Journal of Business Ethics,0167-4544,1573-0697,0167-4544;1573-0697,,Human Resources & Employment,,,527,3,470,B,,
issn-0306-686x,Journal of Business Finance and Accounting,0306-686X,1468-5957,0306-686X;1468-5957,,Accounting & Auditing,,,24,3,22,B,,
issn-0735-3766,Journal of Business Logistics,0735-3766,2158-1592,0735-3766;2158-1592,,Operations & Management Science,,,1150,3,832,B,,
issn-0148-2963,Journal of Business Research,0148-2963,1873-7978,0148-2963;1873-7978,,Management & Organization,,,528,3,404,B,,
issn-0883-9026,Journal of Business Venturing,0883-9026,1873-2003,0883-9026;1873-2003,,Entrepreneurship & Small Business,,,475,4*,214,A,,
issn-1392-3730,Journal of Civil Engineering and Management,1392-3730,,1392-3730,,Engineering & Industrial Management,,,,,547,B,,
issn-2405-8513,Journal of Commodity Markets,2405-8513,2405-8505,2405-8513;2405-8505,,Finance,,,643,3,250,B,,
issn-1468-5965,Journal of Common Market Studies,1468-5965,,1468-5965,,International Business & Affairs,,,810,3,,,,
issn-0147-5967,Journal of Comparative Economics,0147-5967,1095-7227,0147-5967;1095-7227,,Economics,,,176,3,500,B,,
issn-1061-8600,Journal of Computational and Graphical Statistics,1061-8600,1537-2715,1061-8600;1537-2715,,Statistics & Econometrics,,,177,3,140,B,,
issn-1083-6101,Journal of Computer-Mediated Communication,1083-6101,,1083-6101,,Information Systems,,,878,3,,,,
issn-0022-0027,Journal of Conflict Resolution,0022-0027,1552-8766,0022-0027;1552-8766,,International Business & Affairs,,,1349,3,650,B,,
issn-0733-9364,Journal of Construction Engineering and Management,0733-9364,,0733-9364,,Engineering & Industrial Management,,,,,548,B,,
issn-1057-7408,Journal of Consumer Psychology,1057-7408,1532-7663,1057-7408;1532-7663,,Marketing,,,1064,4*,771,B,,
issn-0093-5301,Journal of Consumer Research,0093-5301,1537-5277,0093-5301;1537-5277,,Marketing,10,UTD24,1065,4*,761,A,,
issn-0929-1199,Journal of Corporate Finance,0929-1199,1872-6313,0929-1199;1872-6313,,Finance,,,624,4,251,B,,
issn-1552-5422,Journal of Cross-Cultural Psychology,1552-5422,,1552-5422,,Psychology & Behavior,,,1350,3,,,,
issn-1753-0369,Journal of Cultural Economy,1753-0369,,1753-0369,,Social Sciences,,,1705,3,,,,
issn-0304-3878,Journal of Development Economics,0304-3878,1872-6089,0304-3878;1872-6089,,Economics,,,178,3,491,A,,
issn-0022-0388,Journal of Development Studies,0022-0388,1743-9140,0022-0388;1743-9140,,Economics,,,1706,3,501,B,,
issn-0022-0418,Journal of Documentation,0022-0418,,0022-0418,,Information & Library Science,,,,,712,B,,
issn-0304-4076,Journal of Econometrics,0304-4076,1872-6895,0304-4076;1872-6895,,Statistics & Econometrics,,,132,4,131,A,,
issn-0167-2681,Journal of Economic Behavior and Organization,0167-2681,1879-1751,0167-2681;1879-1751,,Economics,,,179,3,173,B,,
issn-0165-1889,Journal of Economic Dynamics and Control,0165-1889,1879-1743,0165-1889;1879-1743,,Economics,,,180,3,732,B,,
issn-0022-0485,Journal of Economic Education,0022-0485,,0022-0485,,Education Management,,,,,194,B,,
issn-1468-2702,Journal of Economic Geography,1468-2702,1468-2710,1468-2702;1468-2710,,"Regional, Environmental & Resource Studies",,,1542,4,80,B,,
issn-1381-4338,Journal of Economic Growth,1381-4338,1573-7020,1381-4338;1573-7020,,Economics,,,181,3,502,B,,
issn-0022-0507,Journal of Economic History,0022-0507,1471-6372,0022-0507;1471-6372,,Business History,,,96,3,100,A,,
issn-0022-0515,Journal of Economic Literature,0022-0515,2328-8175,0022-0515;2328-8175,,Business History,,,133,4,101,A,,
issn-0895-3309,Journal of Economic Perspectives,0895-3309,1944-7965,0895-3309;1944-7965,,Economics,,,134,4,327,A,,
issn-1058-6407,Journal of Economics & Management Strategy,1058-6407,,1058-6407,,Economics,,,,,503,B,,
issn-0022-0531,Journal of Economic Theory,0022-0531,1095-7235,0022-0531;1095-7235,,Economics,,,135,4,168,A,,
issn-0927-5398,Journal of Empirical Finance,0927-5398,1879-1727,0927-5398;1879-1727,,Finance,,,644,3,252,B,,
issn-0095-0696,Journal of Environmental Economics and Management,0095-0696,1096-0449,0095-0696;1096-0449,,"Regional, Environmental & Resource Studies",,,182,3,1011,A,,
issn-0964-0568,Journal of Environmental Planning and Management,0964-0568,,0964-0568,,"Regional, Environmental & Resource Studies",,,,,1024,B,,
issn-0272-4944,Journal of Environmental Psychology,0272-4944,1522-9610,0272-4944;1522-9610,,Psychology & Behavior,,,1351,3,,,,
issn-1350-1763,Journal of European Public Policy,1350-1763,1466-4429,1350-1763;1466-4429,,International Business & Affairs,,,1480,3,651,B,,
issn-1461-7269,Journal of European Social Policy,1461-7269,,1461-7269,,International Business & Affairs,,,1707,3,,,,
issn-1076-898x,Journal of Experimental Psychology: Applied,1076-898X,1939-2192,1076-898X;1939-2192,,Psychology & Behavior,,,1336,4,941,B,,
issn-1939-2222,Journal of Experimental Psychology: General,1939-2222,,1939-2222,,Psychology & Behavior,,,1337,4,,,,
issn-1939-1285,Journal of Experimental Psychology: Learning Memory and Cognition,1939-1285,,1939-1285,,Psychology & Behavior,,,1352,3,,,,
issn-0022-1031,Journal of Experimental Social Psychology,0022-1031,1096-0465,0022-1031;1096-0465,,Psychology & Behavior,,,1338,4,942,B,,
issn-0022-1082,Journal of Finance,0022-1082,1540-6261,0022-1082;1540-6261,,Finance,4,UTD24,621,4*,237,A,,
issn-0022-1090,Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,0022-1090;1756-6916,,Finance,,,625,4,238,A,,
issn-1479-8409,Journal of Financial Econometrics,1479-8409,1479-8417,1479-8409;1479-8417,,Finance,,,645,3,253,B,,
issn-0304-405x,Journal of Financial Economics,0304-405X,,0304-405X,,Finance,5,UTD24,622,4*,239,A,,
issn-1042-9573,Journal of Financial Intermediation,1042-9573,1096-0473,1042-9573;1096-0473,,Finance,,,626,4,254,B,,
issn-1386-4181,Journal of Financial Markets,1386-4181,1878-576X,1386-4181;1878-576X,,Finance,,,646,3,255,B,,
issn-2380-2146,Journal of Financial Reporting,2380-2146,2380-2154,2380-2146;2380-2154,,Finance,,,25,3,,,,
issn-0270-2592,Journal of Financial Research,0270-2592,1475-6803,0270-2592;1475-6803,,Finance,,,647,3,256,B,,
issn-1573-0735,Journal of Financial Services Research,1573-0735,,1573-0735,,Finance,,,648,3,,,,
issn-1572-3089,Journal of Financial Stability,1572-3089,1878-0962,1572-3089;1878-0962,,Finance,,,649,3,257,B,,
issn-0270-7314,Journal of Futures Markets,0270-7314,1096-9934,0270-7314;1096-9934,,Finance,,,650,3,258,B,,
issn-0167-6296,Journal of Health Economics,0167-6296,1879-1646,0167-6296;1879-1646,,Health Management & Economics,,,183,3,431,A,,
issn-1381-1231,Journal of Heuristics,1381-1231,1572-9397,1381-1231;1572-9397,,Operations & Management Science,,,1233,3,861,B,,
issn-1096-3480,Journal of Hospitality & Tourism Research,1096-3480,,1096-3480,,"Tourism, Hospitality & Transportation",,,,,1120,B,,
issn-1932-8575,Journal of Human Capital,1932-8575,1932-8664,1932-8575;1932-8664,,Economics,,,184,3,696,B,,
issn-0022-166x,Journal of Human Resources,0022-166X,1548-8004,0022-166X;1548-8004,,Economics,,,185,3,697,B,,
issn-1088-1980,Journal of Industrial Ecology,1088-1980,,1088-1980,,"Regional, Environmental & Resource Studies",,,,,1025,B,,
issn-0022-1821,Journal of Industrial Economics,0022-1821,1467-6451,0022-1821;1467-6451,,Economics,,,186,3,504,B,,
issn-0165-5515,Journal of Information Science,0165-5515,,0165-5515,,Information & Library Science,,,,,713,B,,
issn-0268-3962,Journal of Information Technology,0268-3962,1466-4437,0268-3962;1466-4437,,Information Systems,,,866,4,590,B,,
issn-1751-1577,Journal of Informetrics,1751-1577,,1751-1577,,Information & Library Science,,,,,714,B,,
issn-1744-1382,Journal of Institutional Economics,1744-1382,,1744-1382,,Economics,,,187,3,,,,
issn-1094-9968,Journal of Interactive Marketing,1094-9968,1520-6653,1094-9968;1520-6653,,Marketing,,,1077,3,772,B,,
issn-1061-9518,"Journal of International Accounting, Auditing and Taxation",1061-9518,,1061-9518,,Accounting & Auditing,,,26,3,23,B,,
issn-1542-6297,Journal of International Accounting Research,1542-6297,,1542-6297,,Accounting & Auditing,,,,,24,B,,
issn-2522-0691,Journal of International Business Policy,2522-0691,2522-0705,2522-0691;2522-0705,,International Business & Affairs,,,811,3,,,,
issn-0047-2506,Journal of International Business Studies,0047-2506,1478-6990,0047-2506;1478-6990,,International Business & Affairs,23,UTD24,805,4*,640,A,,
issn-0022-1996,Journal of International Economics,0022-1996,1873-0353,0022-1996;1873-0353,,Economics,,,136,4,728,A,,
issn-1042-4431,"Journal of International Financial Markets, Institutions and Money",1042-4431,1873-0612,1042-4431;1873-0612,,Finance,,,651,3,,,,
issn-1075-4253,Journal of International Management,1075-4253,1873-0620,1075-4253;1873-0620,,International Business & Affairs,,,812,3,652,B,,
issn-1069-031x,Journal of International Marketing,1069-031X,1547-7215,1069-031X;1547-7215,,Marketing,,,1078,3,773,B,,
issn-0261-5606,Journal of International Money and Finance,0261-5606,1873-0639,0261-5606;1873-0639,,Finance,,,652,3,259,B,,
issn-1367-3270,Journal of Knowledge Management,1367-3270,,1367-3270,,Information Systems,,,,,591,B,,
issn-0734-306x,Journal of Labor Economics,0734-306X,1537-5307,0734-306X;1537-5307,,Economics,,,137,4,693,A,,
issn-0022-2186,Journal of Law and Economics,0022-2186,1537-5285,0022-2186;1537-5285,,Economics,,,188,3,341,B,,
issn-1465-7341,"Journal of Law, Economics, and Organization",1465-7341,8756-6222,1465-7341;8756-6222,,Economics,,,189,3,340,B,,
issn-1537-5366,Journal of Legal Studies,1537-5366,,1537-5366,,Economics,,,190,3,,,,
issn-0022-2216,Journal of Leisure Research,0022-2216,,0022-2216,,"Tourism, Hospitality & Transportation",,,,,1121,B,,
issn-0149-2063,Journal of Management,0149-2063,1557-1211,0149-2063;1557-1211,,Management & Organization,,,514,4*,390,A,,
issn-1049-2127,Journal of Management Accounting Research,1049-2127,,1049-2127,,Accounting & Auditing,,,,,25,B,,
issn-1052-5629,Journal of Management Education,1052-5629,,1052-5629,,Education Management,,,,,195,B,,
issn-0742-597x,Journal of Management in Engineering,0742-597X,,0742-597X,,Engineering & Industrial Management,,,,,549,B,,
issn-0742-1222,Journal of Management Information Systems,0742-1222,1557-928X,0742-1222;1557-928X,,Information Systems,,,867,4,564,A,,
issn-1056-4926,Journal of Management Inquiry,1056-4926,1552-6542,1056-4926;1552-6542,,Management & Organization,,,529,3,405,B,,
issn-2096-2320,Journal of Management Science and Engineering,2096-2320,,2096-2320,,Operations & Management Science,,,,,862,B,,
issn-0022-2380,Journal of Management Studies,0022-2380,1467-6486,0022-2380;1467-6486,,Management & Organization,,,517,4,391,A,,
issn-1758-7778,Journal of Managerial Psychology,1758-7778,,1758-7778,,Psychology & Behavior,,,1420,3,,,,
issn-0022-2429,Journal of Marketing,0022-2429,1547-7185,0022-2429;1547-7185,,Marketing,11,UTD24,1066,4*,762,A,,
issn-0022-2437,Journal of Marketing Research,0022-2437,1547-7193,0022-2437;1547-7193,,Marketing,12,UTD24,1067,4*,763,A,,
issn-0304-4068,Journal of Mathematical Economics,0304-4068,1873-1538,0304-4068;1873-1538,,Economics,,,191,3,174,B,,
issn-1096-0880,Journal of Mathematical Psychology,1096-0880,,1096-0880,,Psychology & Behavior,,,1353,3,,,,
issn-0304-3932,Journal of Monetary Economics,0304-3932,1873-1295,0304-3932;1873-1295,,Economics,,,138,4,729,A,,
issn-0022-2879,"Journal of Money, Credit and Banking",0022-2879,1538-4616,0022-2879;1538-4616,,Finance,,,627,4,260,B,,
issn-0047-259x,Journal of Multivariate Analysis,0047-259X,1095-7243,0047-259X;1095-7243,,Statistics & Econometrics,,,192,3,141,B,,
issn-0963-1798,Journal of Occupational and Organizational Psychology,0963-1798,2044-8325,0963-1798;2044-8325,,Psychology & Behavior,,,1405,4,943,B,,
issn-1076-8998,Journal of Occupational Health Psychology,1076-8998,1939-1307,1076-8998;1939-1307,,Psychology & Behavior,,,1406,4,944,B,,
issn-0272-6963,Journal of Operations Management,0272-6963,1873-1317,0272-6963;1873-1317,,Operations & Management Science,16,UTD24,1142,4*,825,A,,
issn-0022-3239,Journal of Optimization Theory and Applications,0022-3239,1573-2878,0022-3239;1573-2878,,Operations & Management Science,,,1234,3,863,B,,
issn-0894-3796,Journal of Organizational Behavior,0894-3796,1099-1379,0894-3796;1099-1379,,Management & Organization,,,1407,4,904,A,,
issn-0022-3506,Journal of Personality,0022-3506,1467-6494,0022-3506;1467-6494,,Psychology & Behavior,,,1354,3,,,,
issn-0022-3514,Journal of Personality and Social Psychology,0022-3514,1939-1315,0022-3514;1939-1315,,Psychology & Behavior,,,1339,4,945,B,,
issn-0276-8739,Journal of Policy Analysis and Management,0276-8739,1520-6688,0276-8739;1520-6688,,Public Administration & Policy,,,1481,3,977,B,,
issn-0022-3808,Journal of Political Economy,0022-3808,1537-534X,0022-3808;1537-534X,,Economics,,,122,4*,328,A,,
issn-0022-3816,Journal of Politics,0022-3816,1468-2508,0022-3816;1468-2508,,Social Sciences,,,1689,4,,,,
issn-0933-1433,Journal of Population Economics,0933-1433,1432-1475,0933-1433;1432-1475,,Economics,,,193,3,698,B,,
issn-1443-2447,Journal of Population Research,1443-2447,,1443-2447,,Economics,,,,,699,B,,
issn-0095-4918,Journal of Portfolio Management,0095-4918,2168-8656,0095-4918;2168-8656,,Finance,,,653,3,261,B,,
issn-0737-6782,Journal of Product Innovation Management,0737-6782,1540-5885,0737-6782;1540-5885,,Strategy & Innovation,,,965,4,1071,A,,
issn-1053-1858,Journal of Public Administration Research and Theory,1053-1858,1477-9803,1053-1858;1477-9803,,Public Administration & Policy,,,1472,4,968,A,,
issn-0047-2727,Journal of Public Economics,0047-2727,,0047-2727,,Economics,,,194,3,492,A,,
issn-0743-9156,Journal of Public Policy and Marketing,0743-9156,1547-7207,0743-9156;1547-7207,,Marketing,,,1079,3,774,B,,
issn-1478-4092,Journal of Purchasing and Supply Management,1478-4092,1873-6505,1478-4092;1873-6505,,Operations & Management Science,,,1151,3,833,B,,
issn-0022-4065,Journal of Quality Technology,0022-4065,,0022-4065,,Engineering & Industrial Management,,,,,550,B,,
issn-0895-5638,Journal of Real Estate Finance and Economics,0895-5638,1573-045X,0895-5638;1573-045X,,Economics,,,654,3,505,B,,
issn-0022-4146,Journal of Regional Science,0022-4146,1467-9787,0022-4146;1467-9787,,"Regional, Environmental & Resource Studies",,,1548,3,81,B,,
issn-0922-680x,Journal of Regulatory Economics,0922-680X,,0922-680X,,Economics,,,,,506,B,,
issn-0022-4359,Journal of Retailing,0022-4359,1873-3271,0022-4359;1873-3271,,Marketing,,,1071,4,775,B,,
issn-1465-1211,Journal of Risk,1465-1211,,1465-1211,,Risk & Safety Management,,,,,1054,B,,
issn-0022-4367,Journal of Risk and Insurance,0022-4367,1539-6975,0022-4367;1539-6975,,Finance,,,655,3,262,B,,
issn-0895-5646,Journal of Risk and Uncertainty,0895-5646,1573-0476,0895-5646;1573-0476,,Risk & Safety Management,,,195,3,1055,B,,
issn-0743-0167,Journal of Rural Studies,0743-0167,1873-1392,0743-0167;1873-1392,,"Regional, Environmental & Resource Studies",,,1549,3,82,B,,
issn-0022-4375,Journal of Safety Research,0022-4375,,0022-4375,,Risk & Safety Management,,,,,1056,B,,
issn-1094-6136,Journal of Scheduling,1094-6136,,1094-6136,,Operations & Management Science,,,,,864,B,,
issn-1873-3506,Journal of School Psychology,1873-3506,,1873-3506,,Education Management,,,1421,3,,,,
issn-1094-6705,Journal of Service Research,1094-6705,1552-7379,1094-6705;1552-7379,,Marketing,,,1574,4,776,B,,
issn-0047-2778,Journal of Small Business Management,0047-2778,1540-627X,0047-2778;1540-627X,,Entrepreneurship & Small Business,,,481,3,219,B,,
issn-0047-2794,Journal of Social Policy,0047-2794,1469-7823,0047-2794;1469-7823,,International Business & Affairs,,,1708,3,653,B,,
issn-0963-8687,Journal of Strategic Information Systems,0963-8687,1873-1198,0963-8687;1873-1198,,Information Systems,,,868,4,592,B,,
issn-1523-2409,Journal of Supply Chain Management,1523-2409,1745-493X,1523-2409;1745-493X,,Operations & Management Science,,,1144,4,834,B,,
issn-0966-9582,Journal of Sustainable Tourism,0966-9582,1747-7646,0966-9582;1747-7646,,"Tourism, Hospitality & Transportation",,,1583,3,1122,B,,
issn-0892-9912,Journal of Technology Transfer,0892-9912,1573-7047,0892-9912;1573-7047,,Strategy & Innovation,,,967,3,1074,B,,
issn-0092-0703,Journal of the Academy of Marketing Science,0092-0703,1552-7824,0092-0703;1552-7824,,Marketing,,,1068,4*,777,B,,
issn-0162-1459,Journal of the American Statistical Association,0162-1459,1537-274X,0162-1459;1537-274X,,Statistics & Econometrics,,,139,4,132,A,,
issn-0198-9073,Journal of the American Taxation Association,0198-9073,1558-8017,0198-9073;1558-8017,,Accounting & Auditing,,,27,3,26,B,,
issn-2330-1635,Journal of the Association for Information Science and Technology (JASIST),2330-1635,2330-1643,2330-1635;2330-1643,,Information & Library Science,,,879,3,710,A,,
issn-1536-9323,Journal of the Association for Information Systems,1536-9323,1558-3457,1536-9323;1558-3457,,Information Systems,,,862,4*,565,A,,
issn-2333-5955,Journal of the Association of Environmental and Resource Economists,2333-5955,2333-5963,2333-5955;2333-5963,,"Regional, Environmental & Resource Studies",,,196,3,1026,B,,
issn-1542-4766,Journal of the European Economic Association,1542-4766,1542-4774,1542-4766;1542-4774,,Economics,,,140,4,329,A,,
issn-0160-5682,Journal of the Operational Research Society,0160-5682,1476-9360,0160-5682;1476-9360,,Operations & Management Science,,,1235,3,865,B,,
issn-0964-1998,Journal of the Royal Statistical Society. Series A: Statistics in Society,0964-1998,1467-985X,0964-1998;1467-985X,,Statistics & Econometrics,,,197,3,142,B,,
issn-1369-7412,Journal of the Royal Statistical Society Series B-Stastistical Methodology,1369-7412,,1369-7412,,Statistics & Econometrics,,,,,133,A,,
issn-1467-9868,Journal of the Royal Statistical Society. Series B: Statistical Methodology,1467-9868,,1467-9868,,Economics,,,141,4,,,,
issn-0035-9254,Journal of the Royal Statistical Society. Series C: Applied Statistics,0035-9254,1467-9876,0035-9254;1467-9876,,Statistics & Econometrics,,,198,3,143,B,,
issn-0143-9782,Journal of Time Series Analysis,0143-9782,1467-9892,0143-9782;1467-9892,,Statistics & Econometrics,,,199,3,144,B,,
issn-0966-6923,Journal of Transport Geography,0966-6923,,0966-6923,,"Tourism, Hospitality & Transportation",,,,,1154,B,,
issn-0047-2875,Journal of Travel Research,0047-2875,1552-6763,0047-2875;1552-6763,,"Tourism, Hospitality & Transportation",,,1575,4,1112,A,,
issn-0735-2166,Journal of Urban Affairs,0735-2166,,0735-2166,,"Regional, Environmental & Resource Studies",,,,,83,B,,
issn-0094-1190,Journal of Urban Economics,0094-1190,1095-9068,0094-1190;1095-9068,,"Regional, Environmental & Resource Studies",,,200,3,77,A,,
issn-0001-8791,Journal of Vocational Behavior,0001-8791,1095-9084,0001-8791;1095-9084,,Psychology & Behavior,,,1408,4,946,B,,
issn-1090-9516,Journal of World Business,1090-9516,1878-5573,1090-9516;1878-5573,,International Business & Affairs,,,806,4,641,A,,
issn-1930-2975,Judgment and Decision Making,1930-2975,,1930-2975,,Operations & Management Science,,,1355,3,866,B,,
issn-0023-5962,Kyklos,0023-5962,,0023-5962,,Economics,,,,,342,B,,
issn-0927-5371,Labour Economics,0927-5371,1879-1034,0927-5371;1879-1034,,Economics,,,201,3,700,B,,
issn-0023-7639,Land Economics,0023-7639,1543-8325,0023-7639;1543-8325,,"Regional, Environmental & Resource Studies",,,202,3,1027,B,,
issn-1048-9843,Leadership Quarterly,1048-9843,1873-3409,1048-9843;1873-3409,,Management & Organization,,,1295,4,910,B,,
issn-1741-4857,Learned Publishing,1741-4857,,1741-4857,,Information & Library Science,,,,,715,B,,
issn-0740-8188,Library & Information science Research,0740-8188,,0740-8188,,Information & Library Science,,,,,716,B,,
issn-0024-6301,Long Range Planning,0024-6301,1873-1872,0024-6301;1873-1872,,Strategy & Innovation,,,1798,4,1100,B,,
issn-1365-1005,Macroeconomic Dynamics,1365-1005,,1365-1005,,Economics,,,,,733,B,,
issn-1044-5005,Management Accounting Research,1044-5005,1096-1224,1044-5005;1096-1224,,Accounting & Auditing,,,28,3,27,B,,
issn-1740-8776,Management and Organization Review,1740-8776,1740-8784,1740-8776;1740-8784,,Management & Organization,,,813,3,911,B,,
issn-0938-8249,Management International Review,0938-8249,1861-8901,0938-8249;1861-8901,,International Business & Affairs,,,814,3,654,B,,
issn-1350-5076,Management Learning,1350-5076,1461-7307,1350-5076;1461-7307,,Management & Organization,,,1008,3,912,B,,
issn-0025-1909,Management Science,0025-1909,1526-5501,0025-1909;1526-5501,,Management & Organization,14,UTD24,1216,4*,392,A,,
issn-1523-4614,Manufacturing & Service Operations Management,1523-4614,1526-5498,1523-4614;1526-5498,,Operations & Management Science,17,UTD24,1152,3,826,A,,
issn-0923-0645,Marketing Letters,0923-0645,1573-059X,0923-0645;1573-059X,,Marketing,,,1080,3,778,B,,
issn-0732-2399,Marketing Science,0732-2399,1526-548X,0732-2399;1526-548X,,Marketing,13,UTD24,1069,4*,764,A,,
issn-1470-5931,Marketing Theory,1470-5931,1741-301X,1470-5931;1741-301X,,Marketing,,,1081,3,779,B,,
issn-0960-1627,Mathematical Finance,0960-1627,1467-9965,0960-1627;1467-9965,,Finance,,,656,3,263,B,,
issn-0025-5610,Mathematical Programming,0025-5610,1436-4646,0025-5610;1436-4646,,Operations & Management Science,,,1220,4,844,A,,
issn-0364-765x,Mathematics of Operations Research,0364-765X,1526-5471,0364-765X;1526-5471,,Operations & Management Science,,,1236,3,845,A,,
issn-0272-989x,Medical Decision Making,0272-989X,,0272-989X,,Health Management & Economics,,,,,435,B,,
issn-1468-0009,Milbank Quarterly,1468-0009,,1468-0009,,Health Management & Economics,,,1482,3,,,,
issn-0276-7783,MIS Quarterly,0276-7783,2162-9730,0276-7783;2162-9730,,Information Systems,9,UTD24,863,4*,566,A,,
issn-1540-1960,MIS Quarterly Executive,1540-1960,,1540-1960,,Information Systems,,,,,593,B,,
