catalog_id,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-1000-5781,系统工程学报,1000-5781,,1000-5781,,Operations & Management Science,,,,,,,81,T2
issn-1000-6788,系统工程理论与实践,1000-6788,,1000-6788,,Operations & Management Science,,,,,,,21,T1
issn-1000-0577,系统科学与数学,1000-0577,,1000-0577,,Operations & Management Science,,,,,,,83,T2
issn-1005-2542,系统管理学报,1005-2542,,1005-2542,,Operations & Management Science,,,,,,,82,T2
issn-1000-7636,经济与管理研究,1000-7636,,1000-7636,,Economics,,,,,,,64,T2
issn-1000-8462,经济地理,1000-8462,,1000-8462,,"Regional, Environmental & Resource Studies",,,,,,,55,T2
issn-1002-8390,经济学动态,1002-8390,,1002-8390,,Economics,,,,,,,62,T2
issn-1003-5656,经济学家,1003-5656,,1003-5656,,Economics,,,,,,,63,T2
issn-2095-7254,经济学报,2095-7254,,2095-7254,,Economics,,,,,,,61,T2
issn-2095-1086,经济学（季刊）,2095-1086,,2095-1086,,Economics,,,,,,,12,T1
issn-1000-596x,经济理论与经济管理,1000-596X,,1000-596X,,Economics,,,,,,,58,T2
issn-0577-9154,经济研究,0577-9154,,0577-9154,,Economics,,,,,,,13,T1
issn-1003-3947,经济社会体制比较,1003-3947,,1003-3947,,Economics,,,,,,,60,T2
issn-1002-5839,经济科学,1002-5839,,1002-5839,,Economics,,,,,,,57,T2
issn-1002-5766,经济管理,1002-5766,,1002-5766,,Economics,,,,,,,56,T2
issn-1005-3425,经济评论,1005-3425,,1005-3425,,Economics,,,,,,,59,T2
issn-1002-4565,统计研究,1002-4565,,1002-4565,,Statistics & Econometrics,,,,,,,20,T1
issn-2097-0099,营销科学学报,2097-0099,,2097-0099,,Marketing,,,,,,,87,T2
issn-2096-9732,计量经济学报,2096-9732,,2096-9732,,Statistics & Econometrics,,,,,,,10,T1
issn-1003-2878,财政研究,1003-2878,,1003-2878,,Economics,,,,,,,34,T2
issn-1001-9952,财经研究,1001-9952,,1001-9952,,Economics,,,,,,,31,T2
issn-1000-8306,财经科学,1000-8306,,1000-8306,,Economics,,,,,,,30,T2
issn-1001-6260,财贸研究,1001-6260,,1001-6260,,Economics,,,,,,,33,T2
issn-1002-8102,财贸经济,1002-8102,,1002-8102,,Economics,,,,,,,32,T2
issn-1007-7588,资源科学,1007-7588,,1007-7588,,"Regional, Environmental & Resource Studies",,,,,,,93,T2
issn-1007-3221,运筹与管理,1007-3221,,1007-3221,,Operations & Management Science,,,,,,,88,T2
title-149450dfd7c32a4de7165a73,金融学季刊,,,,,Finance,,,,,,,54,T2
issn-1002-7246,金融研究,1002-7246,,1002-7246,,Finance,,,,,,,11,T1
issn-1674-1625,金融经济学研究,1674-1625,,1674-1625,,Finance,,,,,,,51,T2
issn-1009-9190,金融论坛,1009-9190,,1009-9190,,Finance,,,,,,,52,T2
issn-1674-7690,金融评论,1674-7690,,1674-7690,,Finance,,,,,,,53,T2
